,,,,,,,,,,,,
ID,Story Title,Points,Priority,As a/an [user],I want [functionality],So that [value],User Story,NFR,Definition of Done / Blockers,Epic ID,Status,Notes
ADM0,Chat Restrictions,3,Medium,Admin,to be able to moderate who has access to chat previllages,the chat remains family friendly,"As a/an Admin, I want to be able to moderate who has access to chat previllages, so that the chat remains family friendly",NFR14,When NFR14 is complete,--,Open,
M3,Update score and stats,5,High,Manager ,to be able to update the score and stats of game,users can view the score and stats of the game,"As a/an Manager , I want to be able to update the score and stats of game, so that users can view the score and stats of the game",NFR15,When NFR15 is complete,--,Open,
M4,Store Team Info.,2,HIgh,Manager ,to be able to store team info.,I have access to my roster,"As a/an Manager , I want to be able to store team info., so that I have access to my roster",NFR16,When NFR16 is complete,--,Open,
ADM1,Access Database,8,High,Admin,to be able to access teams database,I have the ability to update and delete information,"As a/an Admin, I want to be able to access teams database, so that I have the ability to update and delete information",NFR17,When NFR17 is complete,--,Open,
U5,View Calendar,3,Medium,User,to be able to view my schedule,I can know when games are being played,"As a/an User, I want to be able to view my schedule, so that I can know when games are being played",NFR18,When NFR18 is complete,--,Open,
ADM1,Season Locking,3,High,Admin,to be able to restrict team changes,once the season starts all teams are final,"As a/an Admin, I want to be able to restrict team changes, so that once the season starts all teams are final",NFR19,When NFR19 is complete,--,Open,
ADM2,Pictures with minor,3,medium,Admin,to be able to mark pictures as having minors,guests can view them,"As a/an Admin, I want to be able to mark pictures as having minors, so that guests can view them",NFR20,When NFR20 is complete,--,Open,
ADM3,Manager Replacement,3,Medium,Admin,to replace Managers ,if a manager quits they can be replaced,"As a/an Admin, I want to replace Managers , so that if a manager quits they can be replaced",NFR21,When NFR21 is complete,--,Open,
U6,Color Scheme,1,Low,User,"to have the color scheme be Orange, Black, and White",the website is fitting for the area inwhich the league is taking place,"As a/an User, I want to have the color scheme be Orange, Black, and White, so that the website is fitting for the area inwhich the league is taking place",NFR22,When NFR22 is complete,--,Open,
U7,Game History,5,Medium,User,to be able to view past scores,games have progressed,"As a/an User, I want to be able to view past scores, so that games have progressed",NFR23,When NFR23 is complete,--,Open,Time Machine
U8,Game type,2,Medium,User,to see the game type,"I know if it is a normal,playoff, or final","As a/an User, I want to see the game type, so that I know if it is a normal,playoff, or final",NFR24,When NFR24 is complete,--,Open,
U9,Schedule,3,High,User,to see my schedule,I know when I need to play,"As a/an User, I want to see my schedule, so that I know when I need to play",NFR25,When NFR25 is complete,--,Open,
A4,Disclaimer,1,High,Adult,to see what I am subjecting my child to in terms of the league,Im aware of the dnagers and commitment of the league,"As a/an Adult, I want to see what I am subjecting my child to in terms of the league, so that Im aware of the dnagers and commitment of the league",NFR26,When NFR26 is complete,--,Open,
ADM4,Prevent A child from being on multiple teams ,3,Medium,Admin,to prevent a player from being on multiple teams,elligibillity rules are followed,"As a/an Admin, I want to prevent a player from being on multiple teams, so that elligibillity rules are followed",NFR27,When NFR27 is complete,--,Open,
,,,,,,,,,,,,


